X,Y,FID,OBJECTID,CITY,REGION,ORG_E_ID,WEBSITE,SHAPE_Leng,SHAPE_Le_1,SHAPE_Area
-98.6448486354227,26.9681639064931,"1","1",Edinburg,"01",1.000000000000000,www.esc1.net,1276265.437759999884292,12.186470217042640,27084239338.000000000000000
-97.9381706433283,27.7160823815263,"2","2",Corpus Christi,"02",2.000000000000000,www.esc2.net,1037578.315700000035577,9.887028893532603,31600523709.400001525878906
-96.7898257669552,28.9418311279343,"3","3",Victoria,"03",3.000000000000000,www.esc3.net,1172046.844109999947250,11.392469502996388,28085466067.700000762939453
-95.2573633452792,29.6699711221681,"4","4",Houston,"04",4.000000000000000,www.esc4.net,971638.588790999958292,9.411035031833661,19561972136.000000000000000
-94.125893205055,30.4733219848469,"5","5",Beaumont,"05",5.000000000000000,www.esc5.net,900500.029530999949202,8.756366711669616,14232022535.000000000000000
-95.8620472000857,30.7584692759108,"6","6",Huntsville,"06",7.000000000000000,www.esc6.net,1543613.042850000085309,15.128538585732601,31391392224.599998474121094
-94.9010421029554,32.0533461948835,"7","7",Kilgore,"07",8.000000000000000,www.esc7.net,1412111.105939999921247,13.929278285642820,32814224848.299999237060547
-94.9749977749548,33.3194883645013,"8","8",Mt. Pleasant,"08",9.000000000000000,www.reg8.net,1003787.894379999954253,9.890490239793904,17057529795.500000000000000
-98.881858958045,33.658189540762,"9","9",Wichita Falls,"09",10.000000000000000,www.esc9.net,1090947.547759999986738,10.771392712239345,27760410303.200000762939453
-96.460182955549,33.0063683265871,"10","10",Richardson,"10",11.000000000000000,www.region10.org,986968.474166000029072,9.655980706294672,17987204537.700000762939453
-97.6683712479277,32.8220158880862,"11","11",Fort Worth,"11",12.000000000000000,www.esc11.net,1078555.962950000073761,10.513349514132670,20214830677.500000000000000
-97.3517259223534,31.5723439086386,"12","12",Waco,"12",13.000000000000000,www.esc12.net,1366743.555309999966994,13.519810600559245,29403477015.299999237060547
-97.9397339602125,30.179598109948,"13","13",Austin,"13",14.000000000000000,www.esc13.net,1457301.627460000105202,14.274955418872640,32721796020.799999237060547
-99.8140616891839,32.5815504498656,"14","14",Abilene,"14",15.000000000000000,www.esc14.net,1285435.560009999899194,12.698547971787381,30639060524.099998474121094
-100.318801670305,30.8838475281457,"15","15",San Angelo,"15",16.000000000000000,www.netxv.net,1850495.985339999897406,18.122452852765967,64776131499.300003051757813
-101.515281762468,35.4017601549282,"16","16",Amarillo,"16",17.000000000000000,www.esc16.net,1163045.258760000113398,11.596088484403730,67373136600.699996948242188
-101.718188936474,33.4721137562931,"17","17",Lubbock,"17",18.000000000000000,www.esc17.net,1171758.363270000088960,11.628633114834564,48953694623.800003051757813
-103.190538847887,30.9285090513377,"18","18",Midland,"18",19.000000000000000,www.esc18.net,1978365.539730000076815,19.353547047745849,98266011914.899993896484375
-105.656752043385,31.5880630111209,"19","19",El Paso,"19",20.000000000000000,www.esc19.net,576826.358334999997169,5.695802799554266,11706079148.700000762939453
-99.3743391982073,29.1094763884893,"20","20",San Antonio,"20",21.000000000000000,www.esc20.net,1329078.121160000097007,12.914165771816855,42071591952.599998474121094
